11638	2005
11639	2006
11650	2006
11653	2006
11663	2006
11671	2004
11679	2005
11681	2005
11691	2006
11698	2004
11702	2006
11704	2005
11706	2004
11716	2006
11718	2006
11725	2006
11729	2004
11743	2005
11749	2006
11761	2006
11770	2004
11772	2006
11776	2006
11784	2005
11806	2006
11813	2006
11814	2006
11833	2005
11840	2004
11859	2006
11863	2005
11871	2004
11873	2005
11881	2005
11884	2005
11891	2006
11892	2004
11895	2006
11897	2005
11910	2004
11919	2006
11948	2006
11949	2005
11950	2004
11951	2006
11955	2005
11957	2006
11963	2006
11972	2005
11975	2006
11979	2006
12006	2004
12009	2005
12010	2004
12012	2005
12013	2005
12015	2006
12018	2005
12026	2006
12034	2006
12040	2004
12041	2006
12043	2006
12059	2005
12064	2005
12074	2006
12079	2006
12080	2005
12081	2004
12082	2006
12089	2005
12091	2004
12092	2005
12114	2005
12115	2004
12117	2005
12120	2006
12122	2006
12133	2005
12166	2005
12173	2005
12177	2004
12181	2005
12188	2004
12189	2006
12194	2004
12221	2005
12224	2006
12228	2005
12235	2006
12257	2006
12261	2005
12276	2005
12280	2006
12288	2004
12296	2005
12297	2005
12312	2006
12357	2006
12358	2004
12361	2004
12362	2005
12368	2005
12375	2006
12384	2005
12402	2005
12405	2006
12407	2006
12410	2005
12411	2005
12413	2006
12421	2006
12427	2006
12428	2005
12439	2006
12448	2006
12465	2006
12495	2004
12497	2005
12499	2006
12512	2005
12520	2005
12521	2006
12528	2004
12530	2006
12555	2005
12556	2006
12569	2006
12578	2006
12597	2006
12598	2005
12603	2006
12604	2006
12611	2005
12614	2006
12628	2006
12635	2006
12646	2005
12647	2005
12648	2005
12656	2006
12657	2004
12668	2006
12669	2004
12678	2006
12685	2004
12686	2005
12689	2004
12708	2006
12712	2005
12713	2006
12714	2004
12717	2006
12718	2005
12739	2005
12759	2006
12770	2005
12781	2006
12786	2004
12813	2004
12835	2006
12837	2004
12840	2004
12859	2005
12860	2006
12864	2006
12899	2005
12914	2006
12920	2005
12921	2006
12935	2004
12939	2004
12944	2006
12949	2006
12956	2006
12978	2006
12991	2005
13001	2006
13008	2006
13014	2006
13029	2006
13043	2005
13045	2006
13047	2004
13052	2006
13063	2004
13065	2004
13069	2005
13071	2004
13080	2005
13102	2004
13106	2005
13108	2006
13118	2005
13136	2005
13147	2005
13154	2006
13171	2005
13185	2005
13186	2006
13192	2005
13205	2006
13236	2005
13239	2006
13241	2006
13242	2005
13252	2006
13256	2006
13264	2006
13270	2006
13274	2005
13302	2005
13303	2006
13307	2004
13321	2005
13324	2006
13326	2006
13331	2005
13332	2006
13340	2005
13359	2006
13370	2004
13380	2006
13396	2006
13399	2006
13412	2005
13431	2005
13434	2006
13435	2006
13481	2005
13482	2006
13494	2006
13497	2005
13501	2004
13546	2006
13551	2004
13559	2006
13560	2006
13574	2006
13575	2005
13591	2005
13616	2006
13624	2006
13634	2006
13636	2004
13653	2004
13654	2005
13677	2005
13678	2006
13681	2005
13683	2006
13690	2006
13713	2006
13727	2005
13740	2006
13746	2006
13775	2005
13776	2006
13791	2004
13801	2005
13802	2006
13804	2006
13805	2006
13806	2006
13811	2006
13813	2005
13816	2005
13832	2006
13838	2006
13846	2006
13848	2004
13850	2005
13851	2005
13855	2006
13857	2005
13858	2006
13859	2006
13860	2006
13863	2005
13873	2004
13874	2006
13879	2006
13883	2006
13885	2006
13887	2005
13894	2006
13895	2005
13906	2004
13909	2006
13910	2005
13918	2006
13925	2006
13927	2005
13949	2005
13951	2006
13953	2005
13958	2006
13959	2005
13961	2004
13970	2005
13971	2006
13972	2006
13975	2006
13977	2004
13981	2005
13988	2004
14013	2005
14024	2005
14073	2006
14096	2006
14102	2004
14108	2006
14114	2005
14120	2006
14126	2004
14130	2006
14131	2004
14135	2005
14138	2004
14142	2006
14161	2006
14168	2005
14179	2004
14191	2006
14203	2006
14217	2006
14220	2006
14226	2005
14228	2006
14238	2006
14244	2005
14282	2005
14285	2006
14318	2005
14355	2005
14359	2006
14360	2004
14366	2005
14368	2006
14385	2006
14392	2005
14395	2006
14401	2005
14403	2006
14406	2006
14409	2006
14410	2005
14416	2005
14417	2006
14422	2005
14429	2006
14430	2006
14438	2006
14450	2005
14469	2005
14478	2004
14482	2004
14487	2005
14497	2005
14498	2006
14510	2006
14511	2005
14525	2005
14526	2005
14538	2005
14546	2006
14547	2004
14549	2004
14552	2005
14566	2005
14586	2004
14588	2004
14595	2006
14600	2006
14601	2005
14613	2005
14626	2006
14629	2006
14642	2004
14654	2006
14656	2005
14657	2005
14668	2006
14676	2004
14693	2006
14698	2006
14699	2004
14725	2006
14737	2005
14743	2004
14754	2005
14778	2004
14780	2006
14783	2006
14787	2005
14797	2005
14817	2006
14828	2006
14835	2006
14858	2005
14860	2004
14864	2005
14866	2005
14878	2006
14880	2004
14882	2005
14889	2004
14928	2006
14946	2005
14951	2005
14956	2006
14960	2006
14962	2006
14970	2005
14981	2005
14982	2006
14987	2006
14991	2005
15014	2004
15017	2006
15030	2004
15032	2005
15037	2006
15040	2006
15051	2005
15068	2005
15074	2006
15075	2006
15078	2005
15094	2006
15112	2006
15115	2006
15118	2006
15126	2006
15127	2005
15134	2006
15138	2006
15142	2005
15161	2006
15162	2006
15185	2004
15187	2004
15213	2006
15234	2005
15241	2004
15245	2005
15255	2005
15256	2004
15259	2005
15269	2004
15270	2004
15278	2005
15294	2005
15308	2005
15311	2005
15312	2006
15313	2006
15319	2006
15334	2004
15338	2006
15353	2004
15367	2004
15400	2004
15423	2004
15425	2006
15446	2005
15463	2004
15464	2006
15480	2006
15488	2006
15500	2005
15502	2004
15507	2006
15510	2004
15511	2006
15515	2005
15517	2006
15518	2004
15526	2007
15537	2006
15549	2006
15560	2005
15561	2006
15569	2004
15571	2004
15584	2004
15585	2005
15586	2005
15591	2005
15598	2006
15599	2005
15601	2005
15605	2005
15609	2006
15614	2004
15615	2004
15617	2006
15619	2006
15621	2006
15623	2005
15624	2007
15626	2007
15630	2007
15632	2007
15633	2006
15634	2008
15635	2007
15637	2007
15639	2007
15642	2006
15643	2007
15644	2006
15645	2007
15647	2007
